,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
168,0,1,male,29.69911764705882,0,0,25.925,S
169,0,3,male,28.0,0,0,56.4958,S
171,0,3,male,4.0,4,1,29.125,Q
173,0,3,male,21.0,0,0,7.925,S
175,0,3,male,18.0,1,1,7.8542,S
176,0,3,male,29.69911764705882,3,1,25.4667,S
177,0,1,female,50.0,0,0,28.7125,C
178,0,2,male,30.0,0,0,13.0,S
181,0,2,male,29.69911764705882,0,0,15.05,C
182,0,3,male,9.0,4,2,31.3875,S
184,1,3,female,4.0,0,2,22.025,S
185,0,1,male,29.69911764705882,0,0,50.0,S
186,1,3,female,29.69911764705882,1,0,15.5,Q
187,1,1,male,45.0,0,0,26.55,S
188,0,3,male,40.0,1,1,15.5,Q
189,0,3,male,36.0,0,0,7.8958,S
190,1,2,female,32.0,0,0,13.0,S
191,0,2,male,19.0,0,0,13.0,S
192,1,3,female,19.0,1,0,7.8542,S
193,1,2,male,3.0,1,1,26.0,S
194,1,1,female,44.0,0,0,27.7208,C
196,0,3,male,29.69911764705882,0,0,7.75,Q
197,0,3,male,42.0,0,1,8.4042,S
198,1,3,female,29.69911764705882,0,0,7.75,Q
199,0,2,female,24.0,0,0,13.0,S
200,0,3,male,28.0,0,0,9.5,S
203,0,3,male,45.5,0,0,7.225,C
204,1,3,male,18.0,0,0,8.05,S
206,0,3,male,32.0,1,0,15.85,S
207,1,3,male,26.0,0,0,18.7875,C
208,1,3,female,16.0,0,0,7.75,Q
209,1,1,male,40.0,0,0,31.0,C
211,1,2,female,35.0,0,0,21.0,S
212,0,3,male,22.0,0,0,7.25,S
213,0,2,male,30.0,0,0,13.0,S
214,0,3,male,29.69911764705882,1,0,7.75,Q
216,1,3,female,27.0,0,0,7.925,S
217,0,2,male,42.0,1,0,27.0,S
219,0,2,male,30.0,0,0,10.5,S
220,1,3,male,16.0,0,0,8.05,S
221,0,2,male,27.0,0,0,13.0,S
222,0,3,male,51.0,0,0,8.05,S
223,0,3,male,29.69911764705882,0,0,7.8958,S
225,0,3,male,22.0,0,0,9.35,S
226,1,2,male,19.0,0,0,10.5,S
227,0,3,male,20.5,0,0,7.25,S
228,0,2,male,18.0,0,0,13.0,S
229,0,3,female,29.69911764705882,3,1,25.4667,S
231,0,3,male,29.0,0,0,7.775,S
233,1,3,female,5.0,4,2,31.3875,S
234,0,2,male,24.0,0,0,10.5,S
235,0,3,female,29.69911764705882,0,0,7.55,S
236,0,2,male,44.0,1,0,26.0,S
237,1,2,female,8.0,0,2,26.25,S
238,0,2,male,19.0,0,0,10.5,S
239,0,2,male,33.0,0,0,12.275,S
240,0,3,female,29.69911764705882,1,0,14.4542,C
241,1,3,female,29.69911764705882,1,0,15.5,Q
242,0,2,male,29.0,0,0,10.5,S
244,0,3,male,30.0,0,0,7.225,C
246,0,3,female,25.0,0,0,7.775,S
247,1,2,female,24.0,0,2,14.5,S
248,1,1,male,37.0,1,1,52.5542,S
249,0,2,male,54.0,1,0,26.0,S
250,0,3,male,29.69911764705882,0,0,7.25,S
251,0,3,female,29.0,1,1,10.4625,S
253,0,3,male,30.0,1,0,16.1,S
254,0,3,female,41.0,0,2,20.2125,S
255,1,3,female,29.0,0,2,15.2458,C
259,1,2,female,50.0,0,1,26.0,S
260,0,3,male,29.69911764705882,0,0,7.75,Q
261,1,3,male,3.0,4,2,31.3875,S
264,0,3,female,29.69911764705882,0,0,7.75,Q
265,0,2,male,36.0,0,0,10.5,S
266,0,3,male,16.0,4,1,39.6875,S
267,1,3,male,25.0,1,0,7.775,S
270,0,1,male,29.69911764705882,0,0,31.0,S
272,1,2,female,41.0,0,1,19.5,S
273,0,1,male,37.0,0,1,29.7,C
274,1,3,female,29.69911764705882,0,0,7.75,Q
276,0,3,female,45.0,0,0,7.75,S
278,0,3,male,7.0,4,1,29.125,Q
279,1,3,female,35.0,1,1,20.25,S
281,0,3,male,28.0,0,0,7.8542,S
282,0,3,male,16.0,0,0,9.5,S
283,1,3,male,19.0,0,0,8.05,S
284,0,1,male,29.69911764705882,0,0,26.0,S
285,0,3,male,33.0,0,0,8.6625,C
286,1,3,male,30.0,0,0,9.5,S
287,0,3,male,22.0,0,0,7.8958,S
288,1,2,male,42.0,0,0,13.0,S
289,1,3,female,22.0,0,0,7.75,Q
292,0,2,male,36.0,0,0,12.875,C
293,0,3,female,24.0,0,0,8.85,S
294,0,3,male,24.0,0,0,7.8958,S
295,0,1,male,29.69911764705882,0,0,27.7208,C
296,0,3,male,23.5,0,0,7.2292,C
298,1,1,male,29.69911764705882,0,0,30.5,S
300,1,3,female,29.69911764705882,0,0,7.75,Q
301,1,3,male,29.69911764705882,2,0,23.25,Q
303,1,2,female,29.69911764705882,0,0,12.35,Q
304,0,3,male,29.69911764705882,0,0,8.05,S
308,0,2,male,30.0,1,0,24.0,C
309,1,1,female,30.0,0,0,56.9292,C
312,0,2,female,26.0,1,1,26.0,S
313,0,3,male,28.0,0,0,7.8958,S
314,0,2,male,43.0,1,1,26.25,S
315,1,3,female,26.0,0,0,7.8542,S
316,1,2,female,24.0,1,0,26.0,S
317,0,2,male,54.0,0,0,14.0,S
320,0,3,male,22.0,0,0,7.25,S
321,0,3,male,27.0,0,0,7.8958,S
322,1,2,female,30.0,0,0,12.35,Q
323,1,2,female,22.0,1,1,29.0,S
327,1,2,female,36.0,0,0,13.0,S
328,1,3,female,31.0,1,1,20.525,S
329,1,1,female,16.0,0,1,57.9792,C
330,1,3,female,29.69911764705882,2,0,23.25,Q
331,0,1,male,45.5,0,0,28.5,S
333,0,3,male,16.0,2,0,18.0,S
335,0,3,male,29.69911764705882,0,0,7.8958,S
338,1,3,male,45.0,0,0,8.05,S
339,0,1,male,45.0,0,0,35.5,S
342,0,2,male,28.0,0,0,13.0,S
343,0,2,male,25.0,0,0,13.0,S
344,0,2,male,36.0,0,0,13.0,S
345,1,2,female,24.0,0,0,13.0,S
346,1,2,female,40.0,0,0,13.0,S
347,1,3,female,29.69911764705882,1,0,16.1,S
348,1,3,male,3.0,1,1,15.9,S
349,0,3,male,42.0,0,0,8.6625,S
350,0,3,male,23.0,0,0,9.225,S
351,0,1,male,29.69911764705882,0,0,35.0,S
352,0,3,male,15.0,1,1,7.2292,C
353,0,3,male,25.0,1,0,17.8,S
354,0,3,male,29.69911764705882,0,0,7.225,C
355,0,3,male,28.0,0,0,9.5,S
356,1,1,female,22.0,0,1,55.0,S
357,0,2,female,38.0,0,0,13.0,S
358,1,3,female,29.69911764705882,0,0,7.8792,Q
359,1,3,female,29.69911764705882,0,0,7.8792,Q
360,0,3,male,40.0,1,4,27.9,S
361,0,2,male,29.0,1,0,27.7208,C
362,0,3,female,45.0,0,1,14.4542,C
364,0,3,male,29.69911764705882,1,0,15.5,Q
365,0,3,male,30.0,0,0,7.25,S
367,1,3,female,29.69911764705882,0,0,7.2292,C
368,1,3,female,29.69911764705882,0,0,7.75,Q
370,1,1,male,25.0,1,0,55.4417,C
372,0,3,male,19.0,0,0,8.05,S
374,0,3,female,3.0,3,1,21.075,S
376,1,3,female,22.0,0,0,7.25,S
379,0,3,male,19.0,0,0,7.775,S
382,0,3,male,32.0,0,0,7.925,S
383,1,1,female,35.0,1,0,52.0,S
384,0,3,male,29.69911764705882,0,0,7.8958,S
387,1,2,female,36.0,0,0,13.0,S
388,0,3,male,29.69911764705882,0,0,7.7292,Q
389,1,2,female,17.0,0,0,12.0,C
391,1,3,male,21.0,0,0,7.7958,S
392,0,3,male,28.0,2,0,7.925,S
394,1,3,female,24.0,0,2,16.7,S
395,0,3,male,22.0,0,0,7.7958,S
396,0,3,female,31.0,0,0,7.8542,S
397,0,2,male,46.0,0,0,26.0,S
398,0,2,male,23.0,0,0,10.5,S
399,1,2,female,28.0,0,0,12.65,S
400,1,3,male,39.0,0,0,7.925,S
401,0,3,male,26.0,0,0,8.05,S
402,0,3,female,21.0,1,0,9.825,S
403,0,3,male,28.0,1,0,15.85,S
404,0,3,female,20.0,0,0,8.6625,S
405,0,2,male,34.0,1,0,21.0,S
406,0,3,male,51.0,0,0,7.75,S
407,1,2,male,3.0,1,1,18.75,S
408,0,3,male,21.0,0,0,7.775,S
409,0,3,female,29.69911764705882,3,1,25.4667,S
410,0,3,male,29.69911764705882,0,0,7.8958,S
414,1,3,male,44.0,0,0,7.925,S
415,0,3,female,29.69911764705882,0,0,8.05,S
416,1,2,female,34.0,1,1,32.5,S
417,1,2,female,18.0,0,2,13.0,S
418,0,2,male,30.0,0,0,13.0,S
419,0,3,female,10.0,0,2,24.15,S
420,0,3,male,29.69911764705882,0,0,7.8958,C
421,0,3,male,21.0,0,0,7.7333,Q
422,0,3,male,29.0,0,0,7.875,S
423,0,3,female,28.0,1,1,14.4,S
424,0,3,male,18.0,1,1,20.2125,S
425,0,3,male,29.69911764705882,0,0,7.25,S
426,1,2,female,28.0,1,0,26.0,S
427,1,2,female,19.0,0,0,26.0,S
428,0,3,male,29.69911764705882,0,0,7.75,Q
429,1,3,male,32.0,0,0,8.05,S
430,1,1,male,28.0,0,0,26.55,S
431,1,3,female,29.69911764705882,1,0,16.1,S
432,1,2,female,42.0,1,0,26.0,S
434,0,1,male,50.0,1,0,55.9,S
436,0,3,female,21.0,2,2,34.375,S
437,1,2,female,24.0,2,3,18.75,S
439,0,2,male,31.0,0,0,10.5,S
440,1,2,female,45.0,1,1,26.25,S
441,0,3,male,20.0,0,0,9.5,S
442,0,3,male,25.0,1,0,7.775,S
443,1,2,female,28.0,0,0,13.0,S
444,1,3,male,29.69911764705882,0,0,8.1125,S
446,1,2,female,13.0,0,1,19.5,S
447,1,1,male,34.0,0,0,26.55,S
448,1,3,female,5.0,2,1,19.2583,C
449,1,1,male,52.0,0,0,30.5,S
450,0,2,male,36.0,1,2,27.75,S
451,0,3,male,29.69911764705882,1,0,19.9667,S
452,0,1,male,30.0,0,0,27.75,C
454,0,3,male,29.69911764705882,0,0,8.05,S
455,1,3,male,29.0,0,0,7.8958,C
457,1,1,female,29.69911764705882,1,0,51.8625,S
458,1,2,female,50.0,0,0,10.5,S
459,0,3,male,29.69911764705882,0,0,7.75,Q
460,1,1,male,48.0,0,0,26.55,S
461,0,3,male,34.0,0,0,8.05,S
462,0,1,male,47.0,0,0,38.5,S
463,0,2,male,48.0,0,0,13.0,S
464,0,3,male,29.69911764705882,0,0,8.05,S
468,0,3,male,29.69911764705882,0,0,7.725,Q
470,0,3,male,29.69911764705882,0,0,7.25,S
471,0,3,male,38.0,0,0,8.6625,S
472,1,2,female,33.0,1,2,27.75,S
473,1,2,female,23.0,0,0,13.7917,C
474,0,3,female,22.0,0,0,9.8375,S
475,0,1,male,29.69911764705882,0,0,52.0,S
476,0,2,male,34.0,1,0,21.0,S
478,0,3,male,22.0,0,0,7.5208,S
480,0,3,male,9.0,5,2,46.9,S
482,0,3,male,50.0,0,0,8.05,S
485,0,3,female,29.69911764705882,3,1,25.4667,S
488,0,3,male,30.0,0,0,8.05,S
489,1,3,male,9.0,1,1,15.9,S
490,0,3,male,29.69911764705882,1,0,19.9667,S
491,0,3,male,21.0,0,0,7.25,S
494,0,3,male,21.0,0,0,8.05,S
495,0,3,male,29.69911764705882,0,0,14.4583,C
497,0,3,male,29.69911764705882,0,0,15.1,S
499,0,3,male,24.0,0,0,7.7958,S
500,0,3,male,17.0,0,0,8.6625,S
501,0,3,female,21.0,0,0,7.75,Q
502,0,3,female,29.69911764705882,0,0,7.6292,Q
503,0,3,female,37.0,0,0,9.5875,S
506,1,2,female,33.0,0,2,26.0,S
507,1,1,male,29.69911764705882,0,0,26.55,S
508,0,3,male,28.0,0,0,22.525,S
509,1,3,male,26.0,0,0,56.4958,S
510,1,3,male,29.0,0,0,7.75,Q
511,0,3,male,29.69911764705882,0,0,8.05,S
512,1,1,male,36.0,0,0,26.2875,S
513,1,1,female,54.0,1,0,59.4,C
514,0,3,male,24.0,0,0,7.4958,S
515,0,1,male,47.0,0,0,34.0208,S
516,1,2,female,34.0,0,0,10.5,S
517,0,3,male,29.69911764705882,0,0,24.15,Q
518,1,2,female,36.0,1,0,26.0,S
519,0,3,male,32.0,0,0,7.8958,S
521,0,3,male,22.0,0,0,7.8958,S
522,0,3,male,29.69911764705882,0,0,7.225,C
523,1,1,female,44.0,0,1,57.9792,C
524,0,3,male,29.69911764705882,0,0,7.2292,C
525,0,3,male,40.5,0,0,7.75,Q
526,1,2,female,50.0,0,0,10.5,S
528,0,3,male,39.0,0,0,7.925,S
529,0,2,male,23.0,2,1,11.5,S
531,0,3,male,29.69911764705882,0,0,7.2292,C
532,0,3,male,17.0,1,1,7.2292,C
533,1,3,female,29.69911764705882,0,2,22.3583,C
534,0,3,female,30.0,0,0,8.6625,S
535,1,2,female,7.0,0,2,26.25,S
536,0,1,male,45.0,0,0,26.55,S
538,0,3,male,29.69911764705882,0,0,14.5,S
539,1,1,female,22.0,0,2,49.5,C
541,0,3,female,9.0,4,2,31.275,S
542,0,3,female,11.0,4,2,31.275,S
543,1,2,male,32.0,1,0,26.0,S
546,1,2,female,19.0,1,0,26.0,S
547,1,2,male,29.69911764705882,0,0,13.8625,C
548,0,3,male,33.0,1,1,20.525,S
549,1,2,male,8.0,1,1,36.75,S
551,0,2,male,27.0,0,0,26.0,S
552,0,3,male,29.69911764705882,0,0,7.8292,Q
553,1,3,male,22.0,0,0,7.225,C
554,1,3,female,22.0,0,0,7.775,S
556,1,1,female,48.0,1,0,39.6,C
559,1,3,female,36.0,1,0,17.4,S
560,0,3,male,29.69911764705882,0,0,7.75,Q
561,0,3,male,40.0,0,0,7.8958,S
562,0,2,male,28.0,0,0,13.5,S
563,0,3,male,29.69911764705882,0,0,8.05,S
564,0,3,female,29.69911764705882,0,0,8.05,S
565,0,3,male,24.0,2,0,24.15,S
566,0,3,male,19.0,0,0,7.8958,S
567,0,3,female,29.0,0,4,21.075,S
568,0,3,male,29.69911764705882,0,0,7.2292,C
569,1,3,male,32.0,0,0,7.8542,S
571,1,1,female,53.0,2,0,51.4792,S
572,1,1,male,36.0,0,0,26.3875,S
573,1,3,female,29.69911764705882,0,0,7.75,Q
574,0,3,male,16.0,0,0,8.05,S
575,0,3,male,19.0,0,0,14.5,S
576,1,2,female,34.0,0,0,13.0,S
577,1,1,female,39.0,1,0,55.9,S
578,0,3,female,29.69911764705882,1,0,14.4583,C
579,1,3,male,32.0,0,0,7.925,S
580,1,2,female,25.0,1,1,30.0,S
582,0,2,male,54.0,0,0,26.0,S
583,0,1,male,36.0,0,0,40.125,C
584,0,3,male,29.69911764705882,0,0,8.7125,C
586,0,2,male,47.0,0,0,15.0,S
588,0,3,male,22.0,0,0,8.05,S
589,0,3,male,29.69911764705882,0,0,8.05,S
592,0,3,male,47.0,0,0,7.25,S
593,0,3,female,29.69911764705882,0,2,7.75,Q
594,0,2,male,37.0,1,0,26.0,S
595,0,3,male,36.0,1,1,24.15,S
596,1,2,female,29.69911764705882,0,0,33.0,S
598,0,3,male,29.69911764705882,0,0,7.225,C
599,1,1,male,49.0,1,0,56.9292,C
600,1,2,female,24.0,2,1,27.0,S
601,0,3,male,29.69911764705882,0,0,7.8958,S
602,0,1,male,29.69911764705882,0,0,42.4,S
603,0,3,male,44.0,0,0,8.05,S
604,1,1,male,35.0,0,0,26.55,C
605,0,3,male,36.0,1,0,15.55,S
606,0,3,male,30.0,0,0,7.8958,S
607,1,1,male,27.0,0,0,30.5,S
608,1,2,female,22.0,1,2,41.5792,C
610,0,3,female,39.0,1,5,31.275,S
612,1,3,female,29.69911764705882,1,0,15.5,Q
613,0,3,male,29.69911764705882,0,0,7.75,Q
614,0,3,male,35.0,0,0,8.05,S
615,1,2,female,24.0,1,2,65.0,S
616,0,3,male,34.0,1,1,14.4,S
617,0,3,female,26.0,1,0,16.1,S
618,1,2,female,4.0,2,1,39.0,S
619,0,2,male,26.0,0,0,10.5,S
620,0,3,male,27.0,1,0,14.4542,C
621,1,1,male,42.0,1,0,52.5542,S
622,1,3,male,20.0,1,1,15.7417,C
623,0,3,male,21.0,0,0,7.8542,S
624,0,3,male,21.0,0,0,16.1,S
628,0,3,male,26.0,0,0,7.8958,S
629,0,3,male,29.69911764705882,0,0,7.7333,Q
632,1,1,male,32.0,0,0,30.5,C
634,0,3,female,9.0,3,2,27.9,S
635,1,2,female,28.0,0,0,13.0,S
636,0,3,male,32.0,0,0,7.925,S
637,0,2,male,31.0,1,1,26.25,S
638,0,3,female,41.0,0,5,39.6875,S
639,0,3,male,29.69911764705882,1,0,16.1,S
640,0,3,male,20.0,0,0,7.8542,S
643,1,3,male,29.69911764705882,0,0,56.4958,S
646,0,3,male,19.0,0,0,7.8958,S
648,0,3,male,29.69911764705882,0,0,7.55,S
649,1,3,female,23.0,0,0,7.55,S
650,0,3,male,29.69911764705882,0,0,7.8958,S
651,1,2,female,18.0,0,1,23.0,S
652,0,3,male,21.0,0,0,8.4333,S
653,1,3,female,29.69911764705882,0,0,7.8292,Q
656,0,3,male,29.69911764705882,0,0,7.8958,S
657,0,3,female,32.0,1,1,15.5,Q
658,0,2,male,23.0,0,0,13.0,S
661,0,3,male,40.0,0,0,7.225,C
662,0,1,male,47.0,0,0,25.5875,S
663,0,3,male,36.0,0,0,7.4958,S
664,1,3,male,20.0,1,0,7.925,S
666,0,2,male,25.0,0,0,13.0,S
667,0,3,male,29.69911764705882,0,0,7.775,S
668,0,3,male,43.0,0,0,8.05,S
669,1,1,female,29.69911764705882,1,0,52.0,S
670,1,2,female,40.0,1,1,39.0,S
671,0,1,male,31.0,1,0,52.0,S
673,1,2,male,31.0,0,0,13.0,S
675,0,3,male,18.0,0,0,7.775,S
676,0,3,male,24.5,0,0,8.05,S
677,1,3,female,18.0,0,0,9.8417,S
678,0,3,female,43.0,1,6,46.9,S
680,0,3,female,29.69911764705882,0,0,8.1375,Q
682,0,3,male,20.0,0,0,9.225,S
683,0,3,male,14.0,5,2,46.9,S
685,0,2,male,25.0,1,2,41.5792,C
686,0,3,male,14.0,4,1,39.6875,S
687,0,3,male,19.0,0,0,10.1708,S
688,0,3,male,18.0,0,0,7.7958,S
690,1,1,male,31.0,1,0,57.0,S
691,1,3,female,4.0,0,1,13.4167,C
692,1,3,male,29.69911764705882,0,0,56.4958,S
693,0,3,male,25.0,0,0,7.225,C
695,0,2,male,52.0,0,0,13.5,S
696,0,3,male,44.0,0,0,8.05,S
697,1,3,female,29.69911764705882,0,0,7.7333,Q
699,0,3,male,42.0,0,0,7.65,S
701,1,1,male,35.0,0,0,26.2875,S
702,0,3,female,18.0,0,1,14.4542,C
703,0,3,male,25.0,0,0,7.7417,Q
704,0,3,male,26.0,1,0,7.8542,S
705,0,2,male,39.0,0,0,26.0,S
706,1,2,female,45.0,0,0,13.5,S
707,1,1,male,42.0,0,0,26.2875,S
709,1,3,male,29.69911764705882,1,1,15.2458,C
710,1,1,female,24.0,0,0,49.5042,C
711,0,1,male,29.69911764705882,0,0,26.55,S
712,1,1,male,48.0,1,0,52.0,S
713,0,3,male,29.0,0,0,9.4833,S
714,0,2,male,52.0,0,0,13.0,S
715,0,3,male,19.0,0,0,7.65,S
717,1,2,female,27.0,0,0,10.5,S
718,0,3,male,29.69911764705882,0,0,15.5,Q
719,0,3,male,33.0,0,0,7.775,S
720,1,2,female,6.0,0,1,33.0,S
722,0,2,male,34.0,0,0,13.0,S
723,0,2,male,50.0,0,0,13.0,S
724,1,1,male,27.0,1,0,53.1,S
725,0,3,male,20.0,0,0,8.6625,S
726,1,2,female,30.0,3,0,21.0,S
727,1,3,female,29.69911764705882,0,0,7.7375,Q
728,0,2,male,25.0,1,0,26.0,S
729,0,3,female,25.0,1,0,7.925,S
731,0,3,male,11.0,0,0,18.7875,C
733,0,2,male,23.0,0,0,13.0,S
734,0,2,male,23.0,0,0,13.0,S
735,0,3,male,28.5,0,0,16.1,S
736,0,3,female,48.0,1,3,34.375,S
738,0,3,male,29.69911764705882,0,0,7.8958,S
739,0,3,male,29.69911764705882,0,0,7.8958,S
740,1,1,male,29.69911764705882,0,0,30.0,S
743,0,3,male,24.0,1,0,16.1,S
744,1,3,male,31.0,0,0,7.925,S
746,0,3,male,16.0,1,1,20.25,S
747,1,2,female,30.0,0,0,13.0,S
748,0,1,male,19.0,1,0,53.1,S
749,0,3,male,31.0,0,0,7.75,Q
750,1,2,female,4.0,1,1,23.0,S
751,1,3,male,6.0,0,1,12.475,S
752,0,3,male,33.0,0,0,9.5,S
753,0,3,male,23.0,0,0,7.8958,S
754,1,2,female,48.0,1,2,65.0,S
756,0,3,male,28.0,0,0,7.7958,S
757,0,2,male,18.0,0,0,11.5,S
758,0,3,male,34.0,0,0,8.05,S
760,0,3,male,29.69911764705882,0,0,14.5,S
762,1,3,male,20.0,0,0,7.2292,C
764,0,3,male,16.0,0,0,7.775,S
766,0,1,male,29.69911764705882,0,0,39.6,C
767,0,3,female,30.5,0,0,7.75,Q
768,0,3,male,29.69911764705882,1,0,24.15,Q
769,0,3,male,32.0,0,0,8.3625,S
770,0,3,male,24.0,0,0,9.5,S
771,0,3,male,48.0,0,0,7.8542,S
773,0,3,male,29.69911764705882,0,0,7.225,C
774,1,2,female,54.0,1,3,23.0,S
775,0,3,male,18.0,0,0,7.75,S
776,0,3,male,29.69911764705882,0,0,7.75,Q
777,1,3,female,5.0,0,0,12.475,S
778,0,3,male,29.69911764705882,0,0,7.7375,Q
780,1,3,female,13.0,0,0,7.2292,C
